name,brand,network,screen_size(inches),ppi,resolution,ram,capacity,device_size(mm),camera(mp),plateform,gps,bluetooth,nfc,memory_card,fingerprint,warranty,process,standby(h),talktime(h),weight
iPhone 3Gs,Apple,GSM/HSPA,3.5,165,320x480,256(MB),8/16/32,115.5x62.1x12.3,3.15,iOS,yes,yes,no,no,no,1-year,A3,300,12,135
iPhone 4,Apple,GSM/HSPA,3.5,330,640x960,512(MB),8/16/32,115.2x58.6x9.3,5,iOS,yes,yes,no,no,no,1-year,A4,300,14,137
iPhone 4s,Apple,GSM/CDMA/HSPA/EVDO,3.5,330,640x960,512(MB),8/16/32/64,115.2x58.6x9.3,8,iOS,yes,yes,no,no,no,1-year,A5,200,14,140
iPhone 5,Apple,GSM/CDMA/HSPA/EVDO/LTE,4,326,640x1136,1(GB),16/32/64,123.8x58.6x7.6,8,iOS,yes,yes,yes,no,no,1-year,A6,225,8,112
iPhone 5s,Apple,GSM/CDMA/HSPA/EVDO/LTE,4,326,640x1136,1(GB),16/32/64,123.8x58.6x7.6,8,iOS,yes,yes,yes,no,no,1-year,A7,250,10,112
iPhone 5c,Apple,GSM/CDMA/HSPA/LTE,4,326,640x1136,1(GB),16/32/64,124.4x59.2x9,8,iOS,yes,yes,yes,no,no,1-year,A6,250,10,132
iPhone 6,Apple,GSM/CDMA/HSPA/EVDO/LTE,4.7,326,750x1334,1(GB),16/64/128,138.1x67x6.9,8,iOS,yes,yes,yes,no,yes,1-year,A8,250,14,129
iPhone 6Plus,Apple,GSM/CDMA/HSPA/EVDO/LTE,5.5,401,1080x1920,1(GB),16/64/128,158.1x77.8x7.1,8,iOS,yes,yes,yes,no,yes,1-year,A8,384,24,172
iPhone SE,Apple,GSM/CDMA/HSPA/EVDO/LTE,4,326,640x1136,2(GB),16/64,123.8x58.6x7.6,12,iOS,yes,yes,yes,no,yes,1-year,A9,240,14,113
iPhone 7,Apple,GSM/CDMA/HSPA/EVDO/LTE,4.7,326,750x1334,2(GB),32/128/256,138.3x67.1x7.1,12,iOS,yes,yes,yes,no,yes,1-year,A10,240,14,138
iPhone 7Plus,Apple,GSM/CDMA/HSPA/EVDO/LTE,5.5,401,1080x1920,3(GB),32/128/256,158.2x77.9x7.3,12,iOS,yes,yes,yes,no,yes,1-year,A10,384,21,188
Galaxy Note,Samsung,GSM/CDMA/HSPA/EVDO/LTE,5.3,285,800x1280,1(GB),16/32,146.9x83x9.7,8,Android,yes,yes,no,yes,no,1-year,Exynos 4210,820,13,178
Galaxy Note 2,Samsung,GSM/CDMA/HSPA/EVDO/LTE,5.55,267,720x1280,2(GB),16/32/64,151.1x80.5x9.4,8,Android,yes,yes,no,yes,no,1-year,Exynos 4412 Quad,540,18,180
